Year,Region_Code,Region_Name,Total_population
2000,E12000001,North East,2543421
2000,E12000002,North West,6774223
2000,E12000003,Yorkshire and The Humber,4958609
2000,E12000004,East Midlands,4168076
2000,E12000005,West Midlands,5269626
2000,E12000006,East,5374972
2000,E12000007,London,7236712
2000,E12000008,South East,7990598
2000,E12000009,South West,4917074
2000,W92000004,Wales,2906870
2001,E12000001,North East,2540090
2001,E12000002,North West,6772985
2001,E12000003,Yorkshire and The Humber,4976643
2001,E12000004,East Midlands,4189622
2001,E12000005,West Midlands,5280727
2001,E12000006,East,5400463
2001,E12000007,London,7322403
2001,E12000008,South East,8023449
2001,E12000009,South West,4943364
2001,W92000004,Wales,2910232
2002,E12000001,North East,2540600
2002,E12000002,North West,6784880
2002,E12000003,Yorkshire and The Humber,5000111
2002,E12000004,East Midlands,4221753
2002,E12000005,West Midlands,5301243
2002,E12000006,East,5432688
2002,E12000007,London,7376671
2002,E12000008,South East,8045192
2002,E12000009,South West,4976129
2002,W92000004,Wales,2922876
2003,E12000001,North East,2540461
2003,E12000002,North West,6814660
2003,E12000003,Yorkshire and The Humber,5026314
2003,E12000004,East Midlands,4255080
2003,E12000005,West Midlands,5325475
2003,E12000006,East,5474133
2003,E12000007,London,7394817
2003,E12000008,South East,8087924
2003,E12000009,South West,5006653
2003,W92000004,Wales,2937721
2004,E12000001,North East,2540502
2004,E12000002,North West,6840369
2004,E12000003,Yorkshire and The Humber,5063199
2004,E12000004,East Midlands,4291476
2004,E12000005,West Midlands,5346376
2004,E12000006,East,5508564
2004,E12000007,London,7432730
2004,E12000008,South East,8133100
2004,E12000009,South West,5038284
2004,W92000004,Wales,2957422
2005,E12000001,North East,2547127
2005,E12000002,North West,6870021
2005,E12000003,Yorkshire and The Humber,5108408
2005,E12000004,East Midlands,4329112
2005,E12000005,West Midlands,5380687
2005,E12000006,East,5562653
2005,E12000007,London,7519009
2005,E12000008,South East,8202896
2005,E12000009,South West,5086121
2005,W92000004,Wales,2969309
2006,E12000001,North East,2552568
2006,E12000002,North West,6901585
2006,E12000003,Yorkshire and The Humber,5134016
2006,E12000004,East Midlands,4366676
2006,E12000005,West Midlands,5415521
2006,E12000006,East,5606294
2006,E12000007,London,7597825
2006,E12000008,South East,8270861
2006,E12000009,South West,5119840
2006,W92000004,Wales,2985668
2007,E12000001,North East,2562045
2007,E12000002,North West,6929277
2007,E12000003,Yorkshire and The Humber,5164138
2007,E12000004,East Midlands,4404774
2007,E12000005,West Midlands,5451924
2007,E12000006,East,5653534
2007,E12000007,London,7693473
2007,E12000008,South East,8351391
2007,E12000009,South West,5170537
2007,W92000004,Wales,3006299
2008,E12000001,North East,2569312
2008,E12000002,North West,6958547
2008,E12000003,Yorkshire and The Humber,5198675
2008,E12000004,East Midlands,4441125
2008,E12000005,West Midlands,5496240
2008,E12000006,East,5708350
2008,E12000007,London,7812161
2008,E12000008,South East,8426399
