Year,Region_Name,Region_Code,Week_No,Week_Date,Mortality,min,max,Total_population
2019,North East,E12000001,1,2019-01-04 00:00:00,574,-2.511655068,10.67048746,"2,669,941"
2019,North East,E12000001,2,2019-01-11 00:00:00,643,-0.358467959,10.64188575,"2,669,941"
2019,North East,E12000001,3,2019-01-18 00:00:00,627,-3.949547278,9.949347213,"2,669,941"
2019,North East,E12000001,4,2019-01-25 00:00:00,640,-5.146209751,10.00954853,"2,669,941"
2019,North East,E12000001,5,2019-02-01 00:00:00,618,-7.396507255,8.452166701,"2,669,941"
2019,North East,E12000001,6,2019-02-08 00:00:00,608,-7.872533055,9.653125274,"2,669,941"
2019,North East,E12000001,7,2019-02-15 00:00:00,569,-0.174649937,12.63062099,"2,669,941"
2019,North East,E12000001,8,2019-02-22 00:00:00,610,3.042818071,14.8803226,"2,669,941"
2019,North East,E12000001,9,2019-03-01 00:00:00,572,1.092333656,17.2793687,"2,669,941"
2019,North East,E12000001,10,2019-03-08 00:00:00,582,-2.185896724,11.05013533,"2,669,941"
2019,North East,E12000001,11,2019-03-15 00:00:00,527,-0.187624691,10.39416597,"2,669,941"
2019,North East,E12000001,12,2019-03-22 00:00:00,532,-0.271042834,14.19258643,"2,669,941"
2019,North East,E12000001,13,2019-03-29 00:00:00,529,1.717691079,12.56018711,"2,669,941"
2019,North East,E12000001,14,2019-04-05 00:00:00,518,-1.283368456,11.98598903,"2,669,941"
2019,North East,E12000001,15,2019-04-12 00:00:00,510,-2.311734503,10.67371238,"2,669,941"
2019,North East,E12000001,16,2019-04-19 00:00:00,459,-1.893304491,19.30149752,"2,669,941"
2019,North East,E12000001,17,2019-04-26 00:00:00,551,3.950302234,21.75493303,"2,669,941"
2019,North East,E12000001,18,2019-05-03 00:00:00,541,2.261203428,15.78147364,"2,669,941"
2019,North East,E12000001,19,2019-05-10 00:00:00,484,-1.042353781,10.51342529,"2,669,941"
2019,North East,E12000001,20,2019-05-17 00:00:00,548,0.040725171,20.06458148,"2,669,941"
2019,North East,E12000001,21,2019-05-24 00:00:00,530,3.340496688,17.85646458,"2,669,941"
2019,North East,E12000001,22,2019-05-31 00:00:00,436,2.987646773,16.94449873,"2,669,941"
2019,North East,E12000001,23,2019-06-07 00:00:00,554,4.056604631,19.08009045,"2,669,941"
2019,North East,E12000001,24,2019-06-14 00:00:00,507,3.355477991,15.92172574,"2,669,941"
2019,North East,E12000001,25,2019-06-21 00:00:00,478,4.471812501,18.39363689,"2,669,941"
2019,North East,E12000001,26,2019-06-28 00:00:00,475,4.269569154,20.83445524,"2,669,941"
2019,North East,E12000001,27,2019-07-05 00:00:00,437,5.796489122,24.9252292,"2,669,941"
2019,North East,E12000001,28,2019-07-12 00:00:00,458,5.263457101,21.36100817,"2,669,941"
2019,North East,E12000001,29,2019-07-19 00:00:00,478,8.278349798,22.88223248,"2,669,941"
2019,North East,E12000001,30,2019-07-26 00:00:00,534,9.252762695,29.46609146,"2,669,941"
2019,North East,E12000001,31,2019-08-02 00:00:00,536,10.32591801,20.93912569,"2,669,941"
2019,North East,E12000001,32,2019-08-09 00:00:00,530,10.88636947,23.08043493,"2,669,941"
2019,North East,E12000001,33,2019-08-16 00:00:00,497,7.480452304,19.1993095,"2,669,941"
2019,North East,E12000001,34,2019-08-23 00:00:00,505,8.222546892,21.80436102,"2,669,941"
2019,North East,E12000001,35,2019-08-30 00:00:00,466,8.751606902,26.80148961,"2,669,941"
2019,North East,E12000001,36,2019-09-06 00:00:00,473,5.340959976,17.473188,"2,669,941"
2019,North East,E12000001,37,2019-09-13 00:00:00,482,2.340265828,17.71787156,"2,669,941"
2019,North East,E12000001,38,2019-09-20 00:00:00,494,3.684736793,21.61548818,"2,669,941"
2019,North East,E12000001,39,2019-09-27 00:00:00,538,8.624676757,19.75218989,"2,669,941"
2019,North East,E12000001,40,2019-10-04 00:00:00,491,0.744739548,15.9290273,"2,669,941"
2019,North East,E12000001,41,2019-10-11 00:00:00,527,6.905527881,13.55873698,"2,669,941"
2019,North East,E12000001,42,2019-10-18 00:00:00,567,2.862428517,13.46422329,"2,669,941"
2019,North East,E12000001,43,2019-10-25 00:00:00,540,1.232513657,12.96290083,"2,669,941"
2019,North East,E12000001,44,2019-11-01 00:00:00,537,-0.208272983,11.22976773,"2,669,941"
2019,North East,E12000001,45,2019-11-08 00:00:00,553,1.189571941,10.61262779,"2,669,941"
2019,North East,E12000001,46,2019-11-15 00:00:00,607,-1.920559021,7.910060664,"2,669,941"
2019,North East,E12000001,47,2019-11-22 00:00:00,582,-4.199101774,7.92468534,"2,669,941"
2019,North East,E12000001,48,2019-11-29 00:00:00,563,0.23062736,8.928159603,"2,669,941"
2019,North East,E12000001,49,2019-12-06 00:00:00,558,-4.054611973,11.23222458,"2,669,941"
2019,North East,E12000001,50,2019-12-13 00:00:00,585,-1.008112993,11.21939678,"2,669,941"
2019,North East,E12000001,51,2019-12-20 00:00:00,670,-1.32651827,9.618365467,"2,669,941"
2019,North East,E12000001,52,2019-12-27 00:00:00,411,1.381592531,8.87261415,"2,669,941"
2019,North West,E12000002,1,2019-01-04 00:00:00,1456,-2.381889234,10.94475653,"7,341,196"
2019,North West,E12000002,2,2019-01-11 00:00:00,1612,-1.51966099,10.32384236,"7,341,196"
2019,North West,E12000002,3,2019-01-18 00:00:00,1566,-2.806149778,9.607953568,"7,341,196"
2019,North West,E12000002,4,2019-01-25 00:00:00,1593,-3.973560675,9.445854757,"7,341,196"
2019,North West,E12000002,5,2019-02-01 00:00:00,1485,-5.713289281,8.748110534,"7,341,196"
2019,North West,E12000002,6,2019-02-08 00:00:00,1595,-6.32283744,9.92931075,"7,341,196"
2019,North West,E12000002,7,2019-02-15 00:00:00,1618,0.717871352,12.75904853,"7,341,196"
2019,North West,E12000002,8,2019-02-22 00:00:00,1495,3.897203405,15.32918805,"7,341,196"
2019,North West,E12000002,9,2019-03-01 00:00:00,1425,1.63669586,17.84068918,"7,341,196"
2019,North West,E12000002,10,2019-03-08 00:00:00,1463,-0.540357334,11.26181111,"7,341,196"
2019,North West,E12000002,11,2019-03-15 00:00:00,1393,0.836501216,10.05999644,"7,341,196"
2019,North West,E12000002,12,2019-03-22 00:00:00,1437,1.926791036,13.10831506,"7,341,196"
2019,North West,E12000002,13,2019-03-29 00:00:00,1278,1.483779353,12.50902722,"7,341,196"
2019,North West,E12000002,14,2019-04-05 00:00:00,1277,-0.21888846,12.00212344,"7,341,196"
2019,North West,E12000002,15,2019-04-12 00:00:00,1341,-1.405049428,13.01796357,"7,341,196"
2019,North West,E12000002,16,2019-04-19 00:00:00,1225,-1.418691689,21.62683859,"7,341,196"
2019,North West,E12000002,17,2019-04-26 00:00:00,1365,5.907371372,21.98800832,"7,341,196"
2019,North West,E12000002,18,2019-05-03 00:00:00,1493,3.318929768,15.76142095,"7,341,196"
2019,North West,E12000002,19,2019-05-10 00:00:00,1214,1.267519497,11.38990731,"7,341,196"
2019,North West,E12000002,20,2019-05-17 00:00:00,1402,0.943471445,20.54875265,"7,341,196"
2019,North West,E12000002,21,2019-05-24 00:00:00,1397,5.066181291,16.88925043,"7,341,196"
2019,North West,E12000002,22,2019-05-31 00:00:00,1176,3.523073067,17.73836289,"7,341,196"
2019,North West,E12000002,23,2019-06-07 00:00:00,1349,5.761685179,18.37446636,"7,341,196"
2019,North West,E12000002,24,2019-06-14 00:00:00,1313,3.939505856,16.90082981,"7,341,196"
2019,North West,E12000002,25,2019-06-21 00:00:00,1344,6.470858068,17.98025583,"7,341,196"
2019,North West,E12000002,26,2019-06-28 00:00:00,1250,4.973435585,23.53973258,"7,341,196"
2019,North West,E12000002,27,2019-07-05 00:00:00,1269,5.6622715,25.88491212,"7,341,196"
2019,North West,E12000002,28,2019-07-12 00:00:00,1272,8.321536821,20.39437043,"7,341,196"
2019,North West,E12000002,29,2019-07-19 00:00:00,1287,9.278713674,22.63274165,"7,341,196"
2019,North West,E12000002,30,2019-07-26 00:00:00,1237,11.92753306,30.99684904,"7,341,196"
2019,North West,E12000002,31,2019-08-02 00:00:00,1234,11.27287939,21.68596483,"7,341,196"
2019,North West,E12000002,32,2019-08-09 00:00:00,1149,11.91973692,23.05029907,"7,341,196"
2019,North West,E12000002,33,2019-08-16 00:00:00,1237,8.651578308,17.93024885,"7,341,196"
2019,North West,E12000002,34,2019-08-23 00:00:00,1203,10.86015522,21.28920859,"7,341,196"
2019,North West,E12000002,35,2019-08-30 00:00:00,1153,9.675613196,28.12275191,"7,341,196"
2019,North West,E12000002,36,2019-09-06 00:00:00,1248,6.879096476,17.46185779,"7,341,196"
2019,North West,E12000002,37,2019-09-13 00:00:00,1328,3.58347894,17.56398705,"7,341,196"
2019,North West,E12000002,38,2019-09-20 00:00:00,1283,4.556505374,21.2423689,"7,341,196"
2019,North West,E12000002,39,2019-09-27 00:00:00,1299,9.588750152,21.94580888,"7,341,196"
2019,North West,E12000002,40,2019-10-04 00:00:00,1322,1.112648605,15.6163661,"7,341,196"
2019,North West,E12000002,41,2019-10-11 00:00:00,1400,7.746956457,13.96737095,"7,341,196"
2019,North West,E12000002,42,2019-10-18 00:00:00,1400,4.625659559,13.68308074,"7,341,196"
2019,North West,E12000002,43,2019-10-25 00:00:00,1361,3.145371115,12.7862107,"7,341,196"
2019,North West,E12000002,44,2019-11-01 00:00:00,1338,-1.111245601,12.96697858,"7,341,196"
