,Year,Region_Name,Region_Code,Week_No,Week_Date,Mortality,min,max,Total_population,_id
4709,2010,North East,E12000001,20,2010-05-21,502,2.710330802,22.42844779,"2,586,868",4710
4710,2010,North East,E12000001,21,2010-05-28,474,1.13780058,24.7713361,"2,586,868",4711
4711,2010,North East,E12000001,22,2010-06-04,457,4.260228978,21.14016005,"2,586,868",4712
4712,2010,North East,E12000001,23,2010-06-11,539,5.56364459,21.86663242,"2,586,868",4713
4713,2010,North East,E12000001,24,2010-06-18,450,3.559618605,21.53720571,"2,586,868",4714
4714,2010,North East,E12000001,25,2010-06-25,464,4.456308759,22.9086368,"2,586,868",4715
4715,2010,North East,E12000001,26,2010-07-02,446,9.426127918,23.16271431,"2,586,868",4716
4716,2010,North East,E12000001,27,2010-07-09,507,7.653895364,21.39508482,"2,586,868",4717
4717,2010,North East,E12000001,28,2010-07-16,444,7.04416557,21.74822393,"2,586,868",4718
4718,2010,North East,E12000001,29,2010-07-23,442,5.053485752,21.60072683,"2,586,868",4719
4719,2010,North East,E12000001,30,2010-07-30,453,6.337807885,19.90842515,"2,586,868",4720
4720,2010,North East,E12000001,31,2010-08-06,479,7.845807816,19.38536883,"2,586,868",4721
4721,2010,North East,E12000001,32,2010-08-13,417,8.435584641,19.38512605,"2,586,868",4722
4722,2010,North East,E12000001,33,2010-08-20,447,7.570172556,21.53756364,"2,586,868",4723
4723,2010,North East,E12000001,34,2010-08-27,471,5.554780253,19.43648452,"2,586,868",4724
4724,2010,North East,E12000001,35,2010-09-03,407,3.944951976,19.77476851,"2,586,868",4725
4725,2010,North East,E12000001,36,2010-09-10,446,7.108939751,19.92689024,"2,586,868",4726
4761,2010,North West,E12000002,20,2010-05-21,1248,2.334193783,22.8068334,"7,019,921",4762
4762,2010,North West,E12000002,21,2010-05-28,1292,3.103494362,24.73224959,"7,019,921",4763
4763,2010,North West,E12000002,22,2010-06-04,1145,6.110709835,23.04338259,"7,019,921",4764
4764,2010,North West,E12000002,23,2010-06-11,1268,6.009396951,21.46240403,"7,019,921",4765
4765,2010,North West,E12000002,24,2010-06-18,1118,4.973515721,22.2978686,"7,019,921",4766
4766,2010,North West,E12000002,25,2010-06-25,1157,4.385022666,21.32594571,"7,019,921",4767
4767,2010,North West,E12000002,26,2010-07-02,1236,10.16153305,24.19967095,"7,019,921",4768
4768,2010,North West,E12000002,27,2010-07-09,1163,8.768022631,20.37548402,"7,019,921",4769
4769,2010,North West,E12000002,28,2010-07-16,1153,8.870126582,21.68793033,"7,019,921",4770
4770,2010,North West,E12000002,29,2010-07-23,1108,8.598207646,21.05072649,"7,019,921",4771
4771,2010,North West,E12000002,30,2010-07-30,1155,8.621903834,19.08152823,"7,019,921",4772
4772,2010,North West,E12000002,31,2010-08-06,1110,9.897617152,18.09405843,"7,019,921",4773
4773,2010,North West,E12000002,32,2010-08-13,1138,9.809569424,19.13912726,"7,019,921",4774
4774,2010,North West,E12000002,33,2010-08-20,1169,8.638128485,21.47709049,"7,019,921",4775
4775,2010,North West,E12000002,34,2010-08-27,1187,5.8440382,18.87986876,"7,019,921",4776
4776,2010,North West,E12000002,35,2010-09-03,1081,4.347019705,20.68092798,"7,019,921",4777
4777,2010,North West,E12000002,36,2010-09-10,1313,8.339931019,19.50314713,"7,019,921",4778
4813,2010,Yorkshire and The Humber,E12000003,20,2010-05-21,896,2.804931167,23.07352484,"5,254,788",4814
4814,2010,Yorkshire and The Humber,E12000003,21,2010-05-28,983,2.980713157,26.13521332,"5,254,788",4815
4815,2010,Yorkshire and The Humber,E12000003,22,2010-06-04,827,4.38294115,22.5939444,"5,254,788",4816
4816,2010,Yorkshire and The Humber,E12000003,23,2010-06-11,902,8.49618613,23.85021558,"5,254,788",4817
4817,2010,Yorkshire and The Humber,E12000003,24,2010-06-18,834,4.923126795,20.94812535,"5,254,788",4818
4818,2010,Yorkshire and The Humber,E12000003,25,2010-06-25,863,6.657496646,24.06617434,"5,254,788",4819
4819,2010,Yorkshire and The Humber,E12000003,26,2010-07-02,851,10.71828362,25.57386452,"5,254,788",4820
4820,2010,Yorkshire and The Humber,E12000003,27,2010-07-09,814,8.357609299,25.01316879,"5,254,788",4821
4821,2010,Yorkshire and The Humber,E12000003,28,2010-07-16,829,9.978300156,25.61390909,"5,254,788",4822
4822,2010,Yorkshire and The Humber,E12000003,29,2010-07-23,857,9.032684276,25.06941583,"5,254,788",4823
4823,2010,Yorkshire and The Humber,E12000003,30,2010-07-30,858,7.480690142,21.37653062,"5,254,788",4824
4824,2010,Yorkshire and The Humber,E12000003,31,2010-08-06,849,8.051370767,20.43269047,"5,254,788",4825
4825,2010,Yorkshire and The Humber,E12000003,32,2010-08-13,844,9.219915472,20.76319044,"5,254,788",4826
4826,2010,Yorkshire and The Humber,E12000003,33,2010-08-20,850,8.138336485,23.45080868,"5,254,788",4827
4827,2010,Yorkshire and The Humber,E12000003,34,2010-08-27,895,7.267616947,21.42283277,"5,254,788",4828
4828,2010,Yorkshire and The Humber,E12000003,35,2010-09-03,788,4.304255779,20.88345528,"5,254,788",4829
4829,2010,Yorkshire and The Humber,E12000003,36,2010-09-10,866,7.011747686,20.68940572,"5,254,788",4830
4865,2010,East Midlands,E12000004,20,2010-05-21,757,3.27861187,22.95841166,"4,507,071",4866
4866,2010,East Midlands,E12000004,21,2010-05-28,782,5.129310118,27.32843172,"4,507,071",4867
4867,2010,East Midlands,E12000004,22,2010-06-04,661,6.588398502,24.33655018,"4,507,071",4868
4868,2010,East Midlands,E12000004,23,2010-06-11,795,9.841160599,25.30723816,"4,507,071",4869
4869,2010,East Midlands,E12000004,24,2010-06-18,664,5.885951319,19.95910895,"4,507,071",4870
4870,2010,East Midlands,E12000004,25,2010-06-25,715,6.11653416,25.12818304,"4,507,071",4871
4871,2010,East Midlands,E12000004,26,2010-07-02,734,11.36217973,27.28305795,"4,507,071",4872
4872,2010,East Midlands,E12000004,27,2010-07-09,694,8.464635774,27.66547682,"4,507,071",4873
4873,2010,East Midlands,E12000004,28,2010-07-16,753,11.32577729,27.37724797,"4,507,071",4874
4874,2010,East Midlands,E12000004,29,2010-07-23,685,9.436250983,26.95005424,"4,507,071",4875
4875,2010,East Midlands,E12000004,30,2010-07-30,629,9.368751677,23.48075204,"4,507,071",4876
4876,2010,East Midlands,E12000004,31,2010-08-06,647,8.758427041,22.2559231,"4,507,071",4877
4877,2010,East Midlands,E12000004,32,2010-08-13,696,8.719364648,23.65638427,"4,507,071",4878
4878,2010,East Midlands,E12000004,33,2010-08-20,721,8.720209661,23.47361933,"4,507,071",4879
4879,2010,East Midlands,E12000004,34,2010-08-27,675,9.131474105,22.70657944,"4,507,071",4880
4880,2010,East Midlands,E12000004,35,2010-09-03,626,5.251657261,21.2796234,"4,507,071",4881
4881,2010,East Midlands,E12000004,36,2010-09-10,784,7.042023082,20.90294583,"4,507,071",4882
4917,2010,West Midlands,E12000005,20,2010-05-21,930,3.276136947,24.43270502,"5,565,866",4918
4918,2010,West Midlands,E12000005,21,2010-05-28,962,4.315918394,26.6660504,"5,565,866",4919
4919,2010,West Midlands,E12000005,22,2010-06-04,807,6.421703828,24.88792182,"5,565,866",4920
4920,2010,West Midlands,E12000005,23,2010-06-11,931,9.298662027,24.02840821,"5,565,866",4921
4921,2010,West Midlands,E12000005,24,2010-06-18,894,5.795502741,21.85648439,"5,565,866",4922
4922,2010,West Midlands,E12000005,25,2010-06-25,894,5.650704704,23.93534843,"5,565,866",4923
4923,2010,West Midlands,E12000005,26,2010-07-02,924,10.77724374,26.29446608,"5,565,866",4924
4924,2010,West Midlands,E12000005,27,2010-07-09,855,8.346554188,24.4584273,"5,565,866",4925
4925,2010,West Midlands,E12000005,28,2010-07-16,867,11.32344285,25.15574208,"5,565,866",4926
4926,2010,West Midlands,E12000005,29,2010-07-23,837,10.79629963,24.94213524,"5,565,866",4927
4927,2010,West Midlands,E12000005,30,2010-07-30,869,9.921134867,22.85836688,"5,565,866",4928
4928,2010,West Midlands,E12000005,31,2010-08-06,894,8.670416776,22.06763187,"5,565,866",4929
4929,2010,West Midlands,E12000005,32,2010-08-13,893,8.464798381,21.31914095,"5,565,866",4930
4930,2010,West Midlands,E12000005,33,2010-08-20,905,8.904243222,22.9823149,"5,565,866",4931
4931,2010,West Midlands,E12000005,34,2010-08-27,901,8.875882186,21.63775532,"5,565,866",4932
4932,2010,West Midlands,E12000005,35,2010-09-03,784,4.420800062,21.28051442,"5,565,866",4933
4933,2010,West Midlands,E12000005,36,2010-09-10,877,8.045032444,20.66070619,"5,565,866",4934
4969,2010,East,E12000006,20,2010-05-21,964,2.486413887,22.55267292,"5,807,402",4970
4970,2010,East,E12000006,21,2010-05-28,1033,4.206542273,26.6941066,"5,807,402",4971
4971,2010,East,E12000006,22,2010-06-04,845,5.508966726,23.55787568,"5,807,402",4972
4972,2010,East,E12000006,23,2010-06-11,962,9.378758577,25.5532379,"5,807,402",4973
4973,2010,East,E12000006,24,2010-06-18,908,6.578608081,19.84898662,"5,807,402",4974
4974,2010,East,E12000006,25,2010-06-25,897,7.786147364,25.51641611,"5,807,402",4975
4975,2010,East,E12000006,26,2010-07-02,920,11.09036385,28.54581311,"5,807,402",4976
4976,2010,East,E12000006,27,2010-07-09,886,8.80952393,30.1896122,"5,807,402",4977
4977,2010,East,E12000006,28,2010-07-16,851,13.5781136,29.40515808,"5,807,402",4978
4978,2010,East,E12000006,29,2010-07-23,901,8.515899889,28.22316996,"5,807,402",4979
4979,2010,East,E12000006,30,2010-07-30,882,8.969159822,25.53788719,"5,807,402",4980
4980,2010,East,E12000006,31,2010-08-06,883,8.264860681,22.86311331,"5,807,402",4981
