date,region_code,region_name,min,max
1960/1/1,E12000001,North East,5.756772305,7.089738646
1960/1/8,E12000001,North East,-1.913607884,8.412000638
1960/1/15,E12000001,North East,-3.995323226,5.163762006
1960/1/22,E12000001,North East,-3.154564715,11.11741914
1960/1/29,E12000001,North East,-2.393518312,10.62249685
1960/2/5,E12000001,North East,0.001742072,10.47586167
1960/2/12,E12000001,North East,-3.125440063,6.394586575
1960/2/19,E12000001,North East,-7.970854884,2.080442454
1960/2/26,E12000001,North East,-5.607758629,7.732684058
1960/3/4,E12000001,North East,1.061458835,14.92687212
1960/3/11,E12000001,North East,-3.370933841,11.6910207
1960/3/18,E12000001,North East,0.720165745,10.04098677
1960/3/25,E12000001,North East,0.028338071,9.749174548
1960/4/1,E12000001,North East,0.807137963,7.54883321
1960/4/8,E12000001,North East,2.508690939,14.15840538
1960/4/15,E12000001,North East,2.1884786,13.17087914
1960/4/22,E12000001,North East,-2.685123941,16.53490631
1960/4/29,E12000001,North East,0.589782192,13.86462735
1960/5/6,E12000001,North East,-1.285098176,16.66814629
1960/5/13,E12000001,North East,5.804908551,17.48773612
1960/5/20,E12000001,North East,5.589108462,18.49877458
1960/5/27,E12000001,North East,2.039340207,20.42373608
1960/6/3,E12000001,North East,2.352162425,22.06831307
1960/6/10,E12000001,North East,5.660277309,21.90967466
1960/6/17,E12000001,North East,4.999518317,22.48064169
1960/6/24,E12000001,North East,6.7430635,24.62515637
1960/7/1,E12000001,North East,4.147099757,21.54198637
1960/7/8,E12000001,North East,7.486798029,17.70045221
1960/7/15,E12000001,North East,6.283340595,18.54352781
1960/7/22,E12000001,North East,7.055162576,18.45475599
1960/7/29,E12000001,North East,5.948504658,19.59808237
1960/8/5,E12000001,North East,6.174821425,19.28209576
1960/8/12,E12000001,North East,5.529398517,19.89223773
1960/8/19,E12000001,North East,5.100658331,17.61976449
1960/8/26,E12000001,North East,7.961597796,19.38704376
1960/9/2,E12000001,North East,5.05892836,18.77762136
1960/9/9,E12000001,North East,5.903677847,19.56934489
1960/9/16,E12000001,North East,5.672603213,20.97889889
1960/9/23,E12000001,North East,3.93679808,16.78135558
1960/9/30,E12000001,North East,4.47852759,15.99509444
1960/10/7,E12000001,North East,6.874899793,16.23672684
1960/10/14,E12000001,North East,0.065138207,12.32182629
1960/10/21,E12000001,North East,1.788522739,12.01780033
1960/10/28,E12000001,North East,6.669339857,11.55541522
1960/11/4,E12000001,North East,2.013075946,11.36539094
1960/11/11,E12000001,North East,-1.223346403,9.063421168
1960/11/18,E12000001,North East,-0.3417711,9.465710977
1960/11/25,E12000001,North East,-2.924496223,8.760799902
1960/12/2,E12000001,North East,-0.648518451,11.99850239
1960/12/9,E12000001,North East,-3.631968178,8.041110872
1960/12/16,E12000001,North East,-2.760744792,8.313217873
1960/12/23,E12000001,North East,-1.565049679,10.12029883
1960/12/30,E12000001,North East,-2.189695726,9.044755018
1961/1/6,E12000001,North East,-1.692777472,5.280328037
1961/1/13,E12000001,North East,-3.328793289,8.764440136
1961/1/20,E12000001,North East,-4.880804375,4.449274112
1961/1/27,E12000001,North East,-3.347212454,7.65773019
1961/2/3,E12000001,North East,-1.824851562,9.350980633
1961/2/10,E12000001,North East,-2.528068389,10.37240847
1961/2/17,E12000001,North East,1.940346552,10.946924
1961/2/24,E12000001,North East,-0.348402534,11.99664566
1961/3/3,E12000001,North East,1.168708428,10.69316523
1961/3/10,E12000001,North East,1.589010514,14.11435456
1961/3/17,E12000001,North East,3.182431362,14.45305835
1961/3/24,E12000001,North East,-1.492411029,11.96130833
1961/3/31,E12000001,North East,-0.82664358,12.15602556
1961/4/7,E12000001,North East,-3.284962076,9.743776973
1961/4/14,E12000001,North East,-2.88407541,15.88254341
1961/4/21,E12000001,North East,2.819668262,16.06629134
1961/4/28,E12000001,North East,1.799241653,14.18010171
1961/5/5,E12000001,North East,5.189494181,14.83764557
1961/5/12,E12000001,North East,2.945397565,18.91488061
1961/5/19,E12000001,North East,5.104120061,16.25222421
1961/5/26,E12000001,North East,1.955898471,15.43817784
1961/6/2,E12000001,North East,0.502914001,16.07138547
1961/6/9,E12000001,North East,5.673145135,19.07485184
1961/6/16,E12000001,North East,2.220759228,17.69743393
1961/6/23,E12000001,North East,5.6344124,18.67681814
1961/6/30,E12000001,North East,7.11337287,24.46749926
1961/7/7,E12000001,North East,4.951162872,20.16909705
1961/7/14,E12000001,North East,4.830021922,17.60688832
1961/7/21,E12000001,North East,7.71447388,17.50611128
1961/7/28,E12000001,North East,6.681719757,17.45523948
1961/8/4,E12000001,North East,6.171351601,19.17206966
1961/8/11,E12000001,North East,5.095488221,17.57260595
1961/8/18,E12000001,North East,3.492190622,18.69196273
1961/8/25,E12000001,North East,4.634054911,17.50648125
1961/9/1,E12000001,North East,5.267384981,25.06390788
1961/9/8,E12000001,North East,5.908702854,21.58346175
1961/9/15,E12000001,North East,5.054868821,19.83644919
1961/9/22,E12000001,North East,6.132376163,22.29953613
1961/9/29,E12000001,North East,4.034821831,19.9785711
1961/10/6,E12000001,North East,5.493575782,15.97788487
1961/10/13,E12000001,North East,2.308640032,15.95662246
1961/10/20,E12000001,North East,3.325473229,15.63225366
1961/10/27,E12000001,North East,2.760403715,11.32669138
1961/11/3,E12000001,North East,0.72781428,12.77138764
1961/11/10,E12000001,North East,-2.373737372,10.1694763
1961/11/17,E12000001,North East,-2.060635332,8.38954707
1961/11/24,E12000001,North East,0.322933828,9.196579477
1961/12/1,E12000001,North East,-3.459674047,6.650753973
1961/12/8,E12000001,North East,-6.265189519,8.315155542
1961/12/15,E12000001,North East,-2.485952037,10.70252352
1961/12/22,E12000001,North East,-4.743858958,6.14890124
1961/12/29,E12000001,North East,-8.996159736,1.850870611
1962/1/5,E12000001,North East,-11.32018188,6.176085246
1962/1/12,E12000001,North East,-0.307177942,7.725467033
1962/1/19,E12000001,North East,0.06880388,7.826029164
1962/1/26,E12000001,North East,0.684997911,9.420147698
1962/2/2,E12000001,North East,-3.548818091,9.568899487
1962/2/9,E12000001,North East,-0.735889643,9.988152482
1962/2/16,E12000001,North East,-3.590130336,10.18566092
1962/2/23,E12000001,North East,-2.778101386,11.01343302
1962/3/2,E12000001,North East,-3.095017146,4.237517408
1962/3/9,E12000001,North East,-8.726019626,4.865116101
1962/3/16,E12000001,North East,-7.217363988,6.445619245
1962/3/23,E12000001,North East,-3.322263747,7.771971333
1962/3/30,E12000001,North East,-4.526989458,7.683504982
1962/4/6,E12000001,North East,-1.354325815,8.192530589
1962/4/13,E12000001,North East,-1.928988757,10.99479973
1962/4/20,E12000001,North East,-2.012447484,10.75563051
1962/4/27,E12000001,North East,1.012527421,17.00796192
1962/5/4,E12000001,North East,0.466969106,15.2102771
1962/5/11,E12000001,North East,4.078097111,17.56468381
1962/5/18,E12000001,North East,3.387436472,14.80082287
1962/5/25,E12000001,North East,2.084906069,13.8180493
1962/6/1,E12000001,North East,-0.775486472,13.39684341
1962/6/8,E12000001,North East,3.153585268,22.94053373
1962/6/15,E12000001,North East,6.834712183,19.58054043
1962/6/22,E12000001,North East,4.419019773,19.00939456
1962/6/29,E12000001,North East,1.581314754,15.91983499
1962/7/6,E12000001,North East,4.990087572,19.94482918
1962/7/13,E12000001,North East,7.535948133,20.13738914
1962/7/20,E12000001,North East,4.699402298,18.61931243
1962/7/27,E12000001,North East,5.832909677,17.66904031
1962/8/3,E12000001,North East,6.983915797,19.33610825
1962/8/10,E12000001,North East,4.381133733,16.83668399
1962/8/17,E12000001,North East,3.28422677,17.49893706
1962/8/24,E12000001,North East,6.853626156,18.5258405
1962/8/31,E12000001,North East,7.421035035,17.18033731
1962/9/7,E12000001,North East,4.986443098,19.71028685
1962/9/14,E12000001,North East,2.727409904,15.6630886
1962/9/21,E12000001,North East,2.358161367,15.47704667
1962/9/28,E12000001,North East,5.996219952,15.92103366
1962/10/5,E12000001,North East,4.165036611,16.14220886
1962/10/12,E12000001,North East,5.14613135,16.16140709
1962/10/19,E12000001,North East,4.164651107,15.12773813
1962/10/26,E12000001,North East,2.222419438,13.67111613
1962/11/2,E12000001,North East,-2.874102701,9.125603647
1962/11/9,E12000001,North East,2.497729712,12.16560549
1962/11/16,E12000001,North East,-5.642106955,8.177945713
1962/11/23,E12000001,North East,-7.561690185,8.530588518
