,Year,Region_Name,Region_Code,Week_No,Week_Date,Mortality,min,max,Total_population,_id
4690,2010,North East,E12000001,1,2010-01-08,648,-10.09281013,1.24554766,"2,586,868",4691
4691,2010,North East,E12000001,2,2010-01-15,612,-9.0358449,4.67375265,"2,586,868",4692
4692,2010,North East,E12000001,3,2010-01-22,550,-2.679860161,7.024309873,"2,586,868",4693
4693,2010,North East,E12000001,4,2010-01-29,555,0.105802748,8.385397263,"2,586,868",4694
4694,2010,North East,E12000001,5,2010-02-05,556,-4.664765662,5.340146707,"2,586,868",4695
4695,2010,North East,E12000001,6,2010-02-12,553,-4.559853985,5.402183698,"2,586,868",4696
4696,2010,North East,E12000001,7,2010-02-19,521,-3.416891127,5.1141159,"2,586,868",4697
4697,2010,North East,E12000001,8,2010-02-26,471,-5.373261465,4.497742315,"2,586,868",4698
4698,2010,North East,E12000001,9,2010-03-05,535,-3.906109387,7.478858357,"2,586,868",4699
4699,2010,North East,E12000001,10,2010-03-12,512,-3.376102936,8.367473024,"2,586,868",4700
4735,2010,North East,E12000001,46,2010-11-19,498,-1.181207398,8.190990776,"2,586,868",4736
4736,2010,North East,E12000001,47,2010-11-26,463,-5.125591034,6.620684059,"2,586,868",4737
4737,2010,North East,E12000001,48,2010-12-03,458,-11.9955226,1.389273458,"2,586,868",4738
4738,2010,North East,E12000001,49,2010-12-10,549,-10.68304623,6.663579011,"2,586,868",4739
4739,2010,North East,E12000001,50,2010-12-17,558,-5.944890912,6.921443721,"2,586,868",4740
4740,2010,North East,E12000001,51,2010-12-24,616,-11.35247914,0.289055948,"2,586,868",4741
4742,2010,North West,E12000002,1,2010-01-08,1686,-10.03889348,2.18930857,"7,019,921",4743
4743,2010,North West,E12000002,2,2010-01-15,1772,-8.361896954,6.458555093,"7,019,921",4744
4744,2010,North West,E12000002,3,2010-01-22,1576,1.199999861,7.526416173,"7,019,921",4745
4745,2010,North West,E12000002,4,2010-01-29,1495,0.18791712,7.768949846,"7,019,921",4746
4746,2010,North West,E12000002,5,2010-02-05,1385,-4.194664002,7.273674912,"7,019,921",4747
4747,2010,North West,E12000002,6,2010-02-12,1402,-5.02472224,6.753326821,"7,019,921",4748
4748,2010,North West,E12000002,7,2010-02-19,1371,-3.716416269,5.487442855,"7,019,921",4749
4749,2010,North West,E12000002,8,2010-02-26,1363,-4.230864106,6.605855049,"7,019,921",4750
4750,2010,North West,E12000002,9,2010-03-05,1417,-3.836042263,7.438824533,"7,019,921",4751
4751,2010,North West,E12000002,10,2010-03-12,1390,-5.606996588,8.584059353,"7,019,921",4752
4787,2010,North West,E12000002,46,2010-11-19,1306,-1.64063213,8.937495548,"7,019,921",4788
4788,2010,North West,E12000002,47,2010-11-26,1356,-4.810884229,7.367576872,"7,019,921",4789
4789,2010,North West,E12000002,48,2010-12-03,1343,-10.40212272,1.517694333,"7,019,921",4790
4790,2010,North West,E12000002,49,2010-12-10,1413,-9.208042395,7.183514068,"7,019,921",4791
4791,2010,North West,E12000002,50,2010-12-17,1509,-5.421965237,7.16224183,"7,019,921",4792
4792,2010,North West,E12000002,51,2010-12-24,1605,-11.25968205,-0.179860483,"7,019,921",4793
4794,2010,Yorkshire and The Humber,E12000003,1,2010-01-08,1317,-7.360206233,1.571704905,"5,254,788",4795
4795,2010,Yorkshire and The Humber,E12000003,2,2010-01-15,1163,-6.49727377,4.964705161,"5,254,788",4796
4796,2010,Yorkshire and The Humber,E12000003,3,2010-01-22,1133,-1.102268213,7.864893269,"5,254,788",4797
4797,2010,Yorkshire and The Humber,E12000003,4,2010-01-29,1031,0.025568969,7.875258124,"5,254,788",4798
4798,2010,Yorkshire and The Humber,E12000003,5,2010-02-05,987,-3.856386856,5.684506393,"5,254,788",4799
4799,2010,Yorkshire and The Humber,E12000003,6,2010-02-12,941,-2.554399198,5.218997449,"5,254,788",4800
4800,2010,Yorkshire and The Humber,E12000003,7,2010-02-19,960,-2.948312094,5.502088599,"5,254,788",4801
4801,2010,Yorkshire and The Humber,E12000003,8,2010-02-26,1040,-3.874172899,5.692593703,"5,254,788",4802
4802,2010,Yorkshire and The Humber,E12000003,9,2010-03-05,952,-2.938473353,7.994237056,"5,254,788",4803
4803,2010,Yorkshire and The Humber,E12000003,10,2010-03-12,984,-5.599828935,8.497150663,"5,254,788",4804
4839,2010,Yorkshire and The Humber,E12000003,46,2010-11-19,940,-0.937928676,8.958114239,"5,254,788",4840
4840,2010,Yorkshire and The Humber,E12000003,47,2010-11-26,960,-3.491723364,7.45158031,"5,254,788",4841
4841,2010,Yorkshire and The Humber,E12000003,48,2010-12-03,888,-11.06730701,1.526845287,"5,254,788",4842
4842,2010,Yorkshire and The Humber,E12000003,49,2010-12-10,1220,-11.02964534,6.793728091,"5,254,788",4843
4843,2010,Yorkshire and The Humber,E12000003,50,2010-12-17,1097,-4.944156475,6.947904749,"5,254,788",4844
4844,2010,Yorkshire and The Humber,E12000003,51,2010-12-24,1098,-11.56552353,0.727537585,"5,254,788",4845
4846,2010,East Midlands,E12000004,1,2010-01-08,1091,-6.522465421,2.339459848,"4,507,071",4847
4847,2010,East Midlands,E12000004,2,2010-01-15,1098,-5.07394191,5.193651298,"4,507,071",4848
4848,2010,East Midlands,E12000004,3,2010-01-22,963,0.312065829,8.558369319,"4,507,071",4849
4849,2010,East Midlands,E12000004,4,2010-01-29,938,-1.002776267,7.593177721,"4,507,071",4850
4850,2010,East Midlands,E12000004,5,2010-02-05,874,-3.444488786,8.267883571,"4,507,071",4851
4851,2010,East Midlands,E12000004,6,2010-02-12,858,-1.751353543,5.327939673,"4,507,071",4852
4852,2010,East Midlands,E12000004,7,2010-02-19,802,-1.105045427,6.503263482,"4,507,071",4853
4853,2010,East Midlands,E12000004,8,2010-02-26,880,-2.961538177,8.255184142,"4,507,071",4854
4854,2010,East Midlands,E12000004,9,2010-03-05,778,-3.259112847,8.476341508,"4,507,071",4855
4855,2010,East Midlands,E12000004,10,2010-03-12,800,-5.818733174,8.095165056,"4,507,071",4856
4891,2010,East Midlands,E12000004,46,2010-11-19,807,-1.289200513,10.17496997,"4,507,071",4892
4892,2010,East Midlands,E12000004,47,2010-11-26,851,-3.29859644,7.480735516,"4,507,071",4893
4893,2010,East Midlands,E12000004,48,2010-12-03,750,-8.485797745,1.337010837,"4,507,071",4894
4894,2010,East Midlands,E12000004,49,2010-12-10,896,-10.86184376,6.386482505,"4,507,071",4895
4895,2010,East Midlands,E12000004,50,2010-12-17,913,-4.886698249,7.570662093,"4,507,071",4896
4896,2010,East Midlands,E12000004,51,2010-12-24,971,-10.24583629,1.285505395,"4,507,071",4897
4898,2010,West Midlands,E12000005,1,2010-01-08,1370,-9.770476241,4.207463247,"5,565,866",4899
4899,2010,West Midlands,E12000005,2,2010-01-15,1258,-6.286552743,5.922978127,"5,565,866",4900
4900,2010,West Midlands,E12000005,3,2010-01-22,1216,-0.186488722,8.839667958,"5,565,866",4901
4901,2010,West Midlands,E12000005,4,2010-01-29,1106,-1.357550063,7.801147796,"5,565,866",4902
4902,2010,West Midlands,E12000005,5,2010-02-05,1097,-3.222313346,9.623932866,"5,565,866",4903
4903,2010,West Midlands,E12000005,6,2010-02-12,1024,-3.151944315,5.906648997,"5,565,866",4904
